Super bowl,Team,Offensive Rank,Defensive Rank,Result
50,Denver,25,1,Win
49,New England,6,12,Win
48,Seattle,7,1,Win
47,Baltimore,13,19,Win
46,New York Giants,7,16,Win
45,Green Bay,7,2,Win
44,New Oreleans,2,17,Win
43,Pittsburgh,21,1,Win
42,New York Giants,18,13,Win
41,Indianapolis,1,25,Win
40,Pittsburgh,8,3,Win
39,New England,3,7,Win
38,New England,14,2,Win
37,Tampa Bay,20,1,Win
36,New England,11,13,Win
35,Baltimore,22,2,Win
34,St. Louis,4,3,Win
33,Denver,1,20,Win
32,Denver,2,8,Win
31,Green Bay,3,1,Win
50,Carolina,8,2,Lose
49,Seattle,5,1,Lose
48,Denver,1,15,Lose
47,San Francisco,5,3,Lose
46,New England,3,30,Lose
45,Pittsburgh,5,1,Lose
44,Indianapolis,6,16,Lose
43,Arizona,15,21,Lose
42,New England,1,11,Lose
41,Chicago,20,2,Lose
40,Seattle,1,16,Lose
39,Philadelphia,9,16,Lose
38,Carolina,18,10,Lose
37,Oakland,2,7,Lose
36,St. Louis,2,5,Lose
35,New York Giants,8,12,Lose
34,Tennessee,3,20,Lose
33,Atlanta,10,5,Lose
32,Green Bay,4,3,Lose
31,New England,14,13,Lose
